"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)"
01.07.2016 00:00:00,988.99,17.98,292.06,13.45,74.80,20.65,15.44,5.20,9.77,15.62,1176.38,0.60,1.18,55.77
01.07.2016 00:10:00,988.96,17.81,291.90,13.59,76.30,20.43,15.59,4.84,9.86,15.76,1176.97,0.63,1.12,76.50
01.07.2016 00:20:00,988.97,17.58,291.66,13.68,77.90,20.13,15.68,4.45,9.92,15.86,1177.87,1.06,1.76,134.10
01.07.2016 00:30:00,988.92,17.26,291.35,13.55,78.80,19.73,15.55,4.18,9.84,15.72,1179.17,0.97,1.88,200.50
01.07.2016 00:40:00,988.90,17.13,291.22,13.52,79.30,19.57,15.52,4.05,9.82,15.69,1179.68,0.87,1.20,207.10
01.07.2016 00:50:00,988.86,16.95,291.04,13.23,78.70,19.35,15.22,4.12,9.63,15.40,1180.50,1.24,3.00,225.40
01.07.2016 01:00:00,988.89,16.94,291.03,12.77,76.40,19.33,14.77,4.56,9.34,14.94,1180.78,1.81,2.76,228.40
01.07.2016 01:10:00,988.96,16.53,290.61,12.76,78.40,18.84,14.77,4.07,9.34,14.93,1182.54,0.82,1.76,217.10
01.07.2016 01:20:00,988.99,16.41,290.49,12.80,79.20,18.69,14.80,3.89,9.36,14.97,1183.05,1.03,1.48,238.00
01.07.2016 01:30:00,988.99,16.30,290.38,12.92,80.40,18.56,14.92,3.64,9.44,15.09,1183.44,0.81,1.16,220.80
01.07.2016 01:40:00,988.99,16.27,290.35,12.70,79.40,18.53,14.71,3.82,9.30,14.87,1183.66,0.97,1.56,213.90
01.07.2016 01:50:00,988.99,16.12,290.20,12.60,79.60,18.35,14.61,3.74,9.24,14.77,1184.32,1.36,1.92,220.10
01.07.2016 02:00:00,988.92,16.02,290.10,12.33,78.70,18.23,14.35,3.88,9.08,14.51,1184.77,2.52,3.32,235.30
01.07.2016 02:10:00,988.91,15.86,289.94,12.25,79.10,18.05,14.28,3.77,9.03,14.44,1185.44,2.54,3.56,227.90
01.07.2016 02:20:00,988.98,15.65,289.73,12.61,82.10,17.81,14.62,3.19,9.25,14.78,1186.23,1.74,2.88,130.30
01.07.2016 02:30:00,988.91,15.53,289.61,12.81,83.80,17.67,14.81,2.86,9.37,14.97,1186.56,1.30,2.60,147.10
01.07.2016 02:40:00,988.93,15.52,289.60,12.56,82.50,17.66,14.57,3.09,9.21,14.73,1186.73,0.72,1.92,254.20
01.07.2016 02:50:00,988.96,15.84,289.92,12.36,79.80,18.02,14.38,3.64,9.10,14.54,1185.54,1.93,2.56,223.60
